"","Year","Month","Date","dSST3.4","ONI","ONI_month_window","phase"
"156",1962,"Dec",1962-12-01,-0.47,-0.43,"NDJ","Neutral Phase"
"157",1963,"Jan",1963-01-01,-0.5,-0.4,"DJF","Neutral Phase"
"158",1963,"Feb",1963-02-01,-0.23,-0.156666666666667,"JFM","Neutral Phase"
"159",1963,"Mar",1963-03-01,0.26,0.146666666666667,"FMA","Neutral Phase"
"160",1963,"Apr",1963-04-01,0.41,0.27,"MAM","Neutral Phase"
"161",1963,"May",1963-05-01,0.14,0.313333333333333,"AMJ","Neutral Phase"
"162",1963,"Jun",1963-06-01,0.39,0.516666666666667,"MJJ","Warm Phase/El Nino"
"163",1963,"Jul",1963-07-01,1.02,0.86,"JJA","Warm Phase/El Nino"
"164",1963,"Aug",1963-08-01,1.17,1.14,"JAS","Warm Phase/El Nino"
"165",1963,"Sep",1963-09-01,1.23,1.22,"ASO","Warm Phase/El Nino"
"166",1963,"Oct",1963-10-01,1.26,1.29333333333333,"SON","Warm Phase/El Nino"
"167",1963,"Nov",1963-11-01,1.39,1.37333333333333,"OND","Warm Phase/El Nino"
"168",1963,"Dec",1963-12-01,1.47,1.30666666666667,"NDJ","Warm Phase/El Nino"
"169",1964,"Jan",1964-01-01,1.06,1.07,"DJF","Warm Phase/El Nino"
"170",1964,"Feb",1964-02-01,0.68,0.613333333333333,"JFM","Warm Phase/El Nino"
"171",1964,"Mar",1964-03-01,0.1,0.12,"FMA","Neutral Phase"
"172",1964,"Apr",1964-04-01,-0.42,-0.33,"MAM","Neutral Phase"
"173",1964,"May",1964-05-01,-0.67,-0.576666666666667,"AMJ","Cool Phase/La Nina"
"174",1964,"Jun",1964-06-01,-0.64,-0.58,"MJJ","Cool Phase/La Nina"
"175",1964,"Jul",1964-07-01,-0.43,-0.596666666666667,"JJA","Cool Phase/La Nina"
"176",1964,"Aug",1964-08-01,-0.72,-0.663333333333333,"JAS","Cool Phase/La Nina"
"177",1964,"Sep",1964-09-01,-0.84,-0.763333333333333,"ASO","Cool Phase/La Nina"
"178",1964,"Oct",1964-10-01,-0.73,-0.796666666666667,"SON","Cool Phase/La Nina"
"179",1964,"Nov",1964-11-01,-0.82,-0.823333333333333,"OND","Cool Phase/La Nina"
"180",1964,"Dec",1964-12-01,-0.92,-0.783333333333333,"NDJ","Cool Phase/La Nina"
"181",1965,"Jan",1965-01-01,-0.61,-0.593333333333333,"DJF","Cool Phase/La Nina"
"182",1965,"Feb",1965-02-01,-0.25,-0.276666666666667,"JFM","Neutral Phase"
"183",1965,"Mar",1965-03-01,0.03,-0.07,"FMA","Neutral Phase"
"184",1965,"Apr",1965-04-01,0.01,0.18,"MAM","Neutral Phase"
"185",1965,"May",1965-05-01,0.5,0.456666666666667,"AMJ","Neutral Phase"
"186",1965,"Jun",1965-06-01,0.86,0.833333333333333,"MJJ","Warm Phase/El Nino"
"187",1965,"Jul",1965-07-01,1.14,1.22,"JJA","Warm Phase/El Nino"
"188",1965,"Aug",1965-08-01,1.66,1.54666666666667,"JAS","Warm Phase/El Nino"
"189",1965,"Sep",1965-09-01,1.84,1.85333333333333,"ASO","Warm Phase/El Nino"
"190",1965,"Oct",1965-10-01,2.06,1.97666666666667,"SON","Warm Phase/El Nino"
"191",1965,"Nov",1965-11-01,2.03,1.96666666666667,"OND","Warm Phase/El Nino"
"192",1965,"Dec",1965-12-01,1.81,1.71666666666667,"NDJ","Warm Phase/El Nino"
"193",1966,"Jan",1966-01-01,1.31,1.37333333333333,"DJF","Warm Phase/El Nino"
"194",1966,"Feb",1966-02-01,1,1.16666666666667,"JFM","Warm Phase/El Nino"
