"","latin_name","taxonomic_rank","common_name","latitude","latitude_location","longitude","longitude_location","year","month","day","source","latin_name_original","hist_range_lat"
"44","Thetys","Genus",NA,42,"Text",-124.3,"Online search",2015,NA,NA,"ca_rev","Thetys",42
"45","Pleuroncodes planipes","Species",NA,32.69,"Online search",-117.368929,"Online search",1958,NA,NA,"ca_rev","Pleuroncodes planipes",32.5
"46","Rhincalanus nasutus","Species",NA,40.2,"Figure",-124.3,"Figure",1958,"March","30","ca_rev","Rhincalanus nasutus",34.5
"47","Pleuroncodes planipes","Species","pelagic red crab",36.75,"Online search",-122.06,"Online search",1969,NA,NA,"ca_rev","Pleuroncodes planipes",32.5
"48","Nyctiphanes simplex","Species","subtropical krill",36,"Text",-121.6,"Text",2015,"May",NA,"ca_rev","Nyctiphanes simplex",32.5
"49","Panulirus interruptus","Species","california spiny lobster (phyllosoma)",34.5,"Figure",-120.53,"Online search",2009,NA,NA,"ca_rev","Panulirus interruptus",34.5
"50","Euphausia recurva","Species",NA,41.0518,"Online search",-124.1514,"Online search",2018,"December",NA,"ca_rev","Euphausia recurva",34.5
"51","Pleuroncodes planipes","Species",NA,33.618,"Online search",-118.400066,"Online search",1959,"January",NA,"ca_rev","Pleuroncodes planipes",32.5
"52","Euphausia eximia","Species",NA,36.182,"Figure",-122.77,"Figure",1958,"March","30","ca_rev","Euphausia eximia",32.5
"53","Pleuroncodes planipes","Species","pelagic red crab",32.6,"Online search",-117.21,"Online search",1972,NA,NA,"ca_rev","Pleuroncodes planipes",32.5
"54","Argonauta argo","Species","greater argonaut",36,"Text",-121.6,"Text",2015,"May",NA,"ca_rev","Argonauta argo",34.5
"55","Euphausia recurva",NA,NA,41.0518,"Online search",-124.1514,"Online search",2019,"December",NA,"ca_rev","Euphausia recurva",34.5
"56","Pleuroncodes planipes","Species",NA,33.7,"Online search",-118.304486,"Online search",1959,"March",NA,"ca_rev","Pleuroncodes planipes",32.5
"57","Doliolum denticulatum","Species",NA,36.18,"Figure",-121.72,"Figure",1958,"March","30","ca_rev","Doliolum denticulatum",34.5
"58","Pleuroncodes planipes","Species","pelagic red crab",32.6,"Online search",-117.21,"Online search",2002,NA,NA,"ca_rev","Pleuroncodes planipes",32.5
"59","Euphausia eximia","Species","subtropical krill",36,"Text",-121.6,"Text",2015,"May",NA,"ca_rev","Euphausia eximia",32.5
"60","Pleuroncodes planipes","Species",NA,33.28,"Online search",-119.556245,"Online search",1959,"December",NA,"ca_rev","Pleuroncodes planipes",32.5
"61","Candacia curta","Species",NA,40.44,"Figure",-124.41,"Figure",1958,"March","30","ca_rev","Candacia curta",34.5
"62","Pleuroncodes planipes","Species","pelagic red crab",32.6,"Online search",-117.21,"Online search",1997,NA,NA,"ca_rev","Pleuroncodes planipes",32.5
"63","Pleuroncodes planipes","Species",NA,33.384,"Online search",-118.492346,"Online search",1960,"January",NA,"ca_rev","Pleuroncodes planipes",32.5
"64","Pleuroncodes planipes","Species","pelagic red crab",32.6,"Online search",-117.21,"Online search",1982,NA,NA,"ca_rev","Pleuroncodes planipes",32.5
"65","Portunus xantusii","Species","Xantus Swimming Crab",38.22836,"Paper",-122.97186,"Paper",2016,"11","22","lab_rev","Portunus xantusii",34.5
"66","Emerita analoga","species","",49.0333,"Paper",-125.6925,"Paper",2016,"May","28","lab_rev","Emerita analoga",32.67
"67","Pleuroncodes planipes","Species","pelagic red crab",31.87,"Paper",-114.920613833209,"R generated",1957,"June-July, October, December","","lab_rev","Pleuroncodes planipes",32.5
"68","Pleuroncodes planipes","Species","pelagic red crab",36.6,"Paper",-121.964029292987,"R generated",1958,"April","","lab_rev","Pleuroncodes planipes",32.5
"69","Pleuroncodes planipes","Species","pelagic red crab",33.8,"Paper",-118.405260650672,"R generated",1959,"January-March, December","","lab_rev","Pleuroncodes planipes",32.5
"70","Pleuroncodes planipes","Species","pelagic red crab",36.6,"Paper",-121.964029292987,"R generated",1960,"January ","","lab_rev","Pleuroncodes planipes",32.5
"71","Pleuroncodes planipes","Species","pelagic red crab",36.6,"Paper",-121.964029292987,"R generated",1969,"December","","lab_rev","Pleuroncodes planipes",32.5
"72","Pleuroncodes planipes","Species","pelagic red crab",36.6,"Paper",-121.964029292987,"R generated",1970,"January-March ","","lab_rev","Pleuroncodes planipes",32.5
"73","Pleuroncodes planipes","Species","pelagic red crab",36.6,"Paper",-121.964029292987,"R generated",1972,"December","","lab_rev","Pleuroncodes planipes",32.5
"74","Pleuroncodes planipes","Species","pelagic red crab",36.6,"Paper",-121.964029292987,"R generated",1973,"January-March ","","lab_rev","Pleuroncodes planipes",32.5
"75","Pleuroncodes planipes","Species","pelagic red crab",34,"Paper",-120.247171429253,"R generated",1979,"April","","lab_rev","Pleuroncodes planipes",32.5
"76","Pleuroncodes planipes","Species","pelagic red crab",34,"Paper",-120.247171429253,"R generated",1980,"February","","lab_rev","Pleuroncodes planipes",32.5
"77","Pleuroncodes planipes","Species","pelagic red crab",33.25,"Paper",-119.566956960394,"R generated",1982,"December","","lab_rev","Pleuroncodes planipes",32.5
"78","Pleuroncodes planipes","Species","pelagic red crab",33.25,"Paper",-119.566956960394,"R generated",1983,"July","","lab_rev","Pleuroncodes planipes",32.5
"79","Pleuroncodes planipes","Species","pelagic red crab",33.25,"Paper",-119.566956960394,"R generated",1983,"July","","lab_rev","Pleuroncodes planipes",32.5
"80","Pleuroncodes planipes","Species","pelagic red crab",37.902138,"Paper",-122.722987753551,"R generated",1985,"January","","lab_rev","Pleuroncodes planipes",32.5
"81","Pleuroncodes planipes","Species","pelagic red crab",36.6,"Paper",-121.964029292987,"R generated",1997,"","","lab_rev","Pleuroncodes planipes",32.5
"82","Pleuroncodes planipes","Species","pelagic red crab",32.55,"Google Maps",-117.128359408246,"R generated",2002,"","","lab_rev","Pleuroncodes planipes",32.5
"83","Tetraclita rubescens","species","volcano barnacle",38.2333,"Paper",-122.965419307808,"R generated",1948,"June","","lab_rev","Tetraclita rubescens",37.5
"84","Tetraclita rubescens","species","volcano barnacle",38.4167,"Paper",-123.107802139271,"R generated",1957,"","","lab_rev","Tetraclita rubescens",37.5
"85","Tetraclita rubescens","species","volcano barnacle",38.4167,"Paper",-123.107802139271,"R generated",1970,"","","lab_rev","Tetraclita rubescens",37.5
"86","Tetraclita rubescens","species","volcano barnacle",38.8667,"Paper",-123.659362687166,"R generated",1984,"","","lab_rev","Tetraclita rubescens",37.5
"87","Tetraclita rubescens","species","volcano barnacle",40.4,"Paper",-124.38494674543,"R generated",1995,"","","lab_rev","Tetraclita rubescens",37.5
"88","Tetraclita rubescens","species","volcano barnacle",40.4,"Paper",-124.38494674543,"R generated",1996,"","","lab_rev","Tetraclita rubescens",37.5
"89","Tetraclita rubescens","species","volcano barnacle",40.4,"Paper",-124.38494674543,"R generated",2005,"spring","","lab_rev","Tetraclita rubescens",37.5
"90","Tetraclita rubescens","species","volcano barnacle",42.3833,"Paper",-124.426756003522,"R generated",2007,"","","lab_rev","Tetraclita rubescens",37.5
"91","Dosidicus gigas","species","humboldt squid",36.793978,"Google Maps",-121.793693163778,"R generated",1997,"","","lab_rev","Dosidicus gigas",32.5
"92","Dosidicus gigas","species","humboldt squid",36.793978,"Google Maps",-121.793693163778,"R generated",1998,"","","lab_rev","Dosidicus gigas",32.5
"93","Dosidicus gigas","species","humboldt squid",36.793978,"Google Maps",-121.793693163778,"R generated",1999,"","","lab_rev","Dosidicus gigas",32.5
"94","Dosidicus gigas","species","humboldt squid",36.793978,"Google Maps",-121.793693163778,"R generated",2000,"","","lab_rev","Dosidicus gigas",32.5
"95","Dosidicus gigas","species","humboldt squid",36.793978,"Google Maps",-121.793693163778,"R generated",2002,"","","lab_rev","Dosidicus gigas",32.5
"96","Crucigera websteri","","",40.724912,"Google Maps",-124.248884641509,"R generated",2003,"September","","lab_rev","Crucigera websteri",33.475
"97","Hydroides gracilis","","",37.76588,"Google Maps",-122.382579838484,"R generated",2000,"September","","lab_rev","Hydroides gracilis",36.78
"98","Hydroides gracilis","","",37.76588,"Google Maps",-122.382579838484,"R generated",2001,"September","","lab_rev","Hydroides gracilis",36.78
"99","Hydroides elegans","","",40.724912,"Google Maps",-124.248884641509,"R generated",2003,"September","","lab_rev","Hydroides elegans",34.5
"100","Neolithodes diomedeae","species","",37.224,"Paper",-123.2,"",1999,"October","25","lab_rev","Neolithodes diomedeae",35.41
"101","Neolithodes diomedeae","species","",34.981,"Paper",-121.6,"",2000,"November","4","lab_rev","Neolithodes diomedeae",35.41
"102","Neolithodes diomedeae","species","",36.713,"Paper",-122.3,"",2001,"October","31","lab_rev","Neolithodes diomedeae",35.41
"103","Pyrosoma","species","",46.288831,"Google Maps",-123.671945416237,"R generated",2014,"","","lab_rev","Pyrosoma atlanticum",40
"104","Pyrosoma","species","",46.288831,"Google Maps",-123.671945416237,"R generated",2015,"","","lab_rev","Pyrosoma atlanticum",40
"105","Pyrosoma","species","",46.288831,"Google Maps",-123.671945416237,"R generated",2016,"","","lab_rev","Pyrosoma atlanticum",40
